0.01,29546,69637,75082,66052,52834,42254,3.39E+04,27427,2.36E+04,2.00E+04,1.83E+04,15373,14430,12451,11466,10108,9844,8227,7742,6495,7308,6017,5528,4807,4039,4974,3388,4247,3550,2832,2902,2681,2635,2388,2056,2053,1284,2128,1684,885,1919,1500,951,1281,837,1.18E+03,7.59E+02,1.10E+03,631,293,1145,586,851,258,526,871,233,483,798,102,404,174,657,148,258,185,549,8.10E+01,2.71E+02,102,69,507,65,90,1.83E+02,133,440,12,117,24,146,8.70E+01,8,352,21,7.90E+01,118,1.90E+01,54,1.90E+01,3.06E+02,0.00E+00,1.20E+01,6.50E+01,8.00E+00,8.20E+01,5.80E+01,2.00E+01,1.20E+01,0,0
0.02,120157,83095,40543,24120,16474,11967,9506,7.23E+03,6178,5.14E+03,4.56E+03,3570,3471,2801,2430,2081,2092,1569,1530,1179,1413,1092,943,920,629,927,535,829,569,486,474,434,455,392,370,369,110,382,325,88,352,274,9.20E+01,278,102,2.57E+02,8.10E+01,2.36E+02,66,22,264,73,214,17,79,222,14,61,216,4,41,14,198,12,43,14,1.75E+02,2.00E+00,3.70E+01,10,3,154,3,9,31,7,1.35E+02,0,5,0,24,4,0,118,0,7,2.50E+01,0,1.00E+01,0.00E+00,8.90E+01,0.00E+00,0.00E+00,8.00E+00,1.00E+00,2.90E+01,9.00E+00,0.00E+00,0.00E+00,0,0
0.03,103933,43457,18799,11215,7647,5690,4292,3276,2728,2233,2022,1481,1487,1124,1080,844,780,655,668,455,632,432,436,401,249,427,222,378,236,212,217,174,196,188,177,186,28,181,119,20,163,129,27,127,26,118,23,130,23,1,102,19,102,4,19,107,3,18,108,0,12,2,98,1,12,3,79,0,9,2,0,70,0,3,11,1,84,0,1,0,16,4,0,64,0,0,5,0,1,1,58,0,0,1,0,6,1,0,0,0,0
0.04,76802,25571,10819,6413,4408,3196,2501,1820,1567,1300,1181,820,858,610,595,509,476,374,359,260,366,236,273,237,126,221,121,217,125,96,116,111,99,121,103,107,13,119,86,16,95,76,10,88,11,86,9,63,11,3,77,15,65,3,10,68,2,8,65,0,11,2,52,1,7,2,54,0,6,0,1,56,0,2,4,0,44,0,0,0,5,2,0,38,0,0,4,0,1,0,40,0,0,0,0,2,1,0,0,0,0
0.05,56477,16598,6998,4297,2905,2141,1598,1188,1019,810,744,551,523,423,422,287,320,251,238,155,235,179,154,157,85,182,76,151,78,88,72,67,58,56,54,66,9,62,58,6,44,64,2,44,5,46,6,60,6,1,43,5,37,0,3,51,1,2,51,0,6,0,46,0,4,1,34,0,4,0,0,31,0,0,3,0,39,0,0,0,3,0,0,37,0,0,4,0,1,0,28,0,0,0,0,1,0,0,0,0,0
0.06,42694,11783,4962,3015,2055,1441,1159,834,711,573,536,368,358,301,311,221,239,146,187,125,176,117,122,112,56,127,63,111,55,53,62,61,40,44,30,47,4,63,42,5,49,44,3,45,3,32,4,47,3,0,36,0,40,0,3,36,0,2,36,0,5,0,28,0,0,1,26,0,2,0,0,44,0,0,0,0,30,0,0,0,2,0,0,33,0,0,1,0,0,0,18,0,0,0,0,3,0,0,0,0,0
0.07,32897,8703,3737,2281,1527,1105,839,611,508,420,403,272,276,217,250,167,177,124,125,92,133,102,77,79,44,104,41,87,41,46,52,43,42,34,34,45,1,33,44,3,45,35,1,35,2,51,2,30,3,1,29,3,35,0,2,30,0,0,31,0,3,0,24,0,0,0,30,0,2,0,0,25,0,0,2,0,18,0,0,0,1,0,0,23,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0
0.08,26460,6649,2836,1720,1146,851,720,486,395,339,284,208,224,176,183,140,144,113,109,71,94,60,63,64,35,73,48,63,34,37,23,37,42,28,37,37,3,32,33,1,28,29,1,23,1,27,1,19,3,0,26,1,30,0,0,26,0,0,17,0,2,0,28,0,0,1,20,0,3,0,0,19,0,0,0,0,7,0,0,0,1,0,0,22,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0
0.09,21398,5425,2307,1374,939,687,521,407,310,294,265,192,172,146,154,97,91,76,70,56,66,57,53,55,39,55,26,52,33,22,25,36,19,23,25,23,1,30,23,1,14,27,2,18,3,24,0,19,2,0,16,0,28,0,2,22,0,0,28,0,0,0,12,0,1,0,19,0,2,0,0,14,0,0,0,1,6,0,0,0,1,0,0,19,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0
0.1,17592,4466,1917,1128,787,497,473,345,257,241,198,146,141,92,119,79,70,63,63,37,57,48,51,53,21,56,19,37,16,20,20,32,16,29,22,25,2,13,23,0,25,21,1,22,0,19,3,19,0,0,18,0,11,0,0,20,0,1,20,0,1,0,16,0,1,0,10,0,0,0,0,10,0,0,1,1,17,0,0,0,0,0,0,15,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0
0.11,14857,3648,1578,948,609,437,365,294,207,212,162,128,106,119,109,71,80,54,58,40,65,28,34,34,24,50,17,58,23,25,22,24,18,20,6,21,1,16,15,0,16,13,0,13,0,13,0,13,1,0,21,0,12,0,1,16,0,1,19,0,0,0,8,0,0,0,15,0,0,0,0,17,0,0,1,0,9,0,0,0,0,0,0,9,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0.12,12506,3029,1241,828,586,397,279,232,176,179,140,98,96,67,84,59,59,54,34,33,47,32,23,31,18,38,13,28,11,18,12,17,19,22,17,12,2,16,10,1,17,15,0,16,0,20,0,12,0,0,7,0,13,0,1,12,0,0,17,0,0,0,17,0,0,0,12,0,0,0,0,9,0,0,1,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
0.13,11010,2696,1096,758,482,340,280,202,146,137,117,84,93,78,82,46,59,38,39,29,45,33,27,36,14,29,13,21,21,13,17,18,14,12,22,12,0,15,17,1,12,14,1,9,0,17,1,11,0,0,6,1,9,0,0,10,0,0,13,0,1,0,8,0,0,0,12,0,0,0,0,10,0,0,0,0,7,0,1,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0
0.14,9426,2285,979,614,436,280,198,167,153,111,99,86,76,62,76,53,47,33,34,24,43,28,29,20,6,28,13,25,7,14,16,21,14,11,8,6,0,9,10,0,8,16,0,8,0,8,0,10,0,0,9,0,12,0,1,10,0,0,10,0,0,0,12,0,0,0,6,0,1,1,0,6,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0.15,8336,2023,862,566,363,259,202,150,128,102,98,66,75,54,52,40,45,40,35,18,35,24,20,23,15,16,7,26,12,11,18,10,9,7,8,10,1,2,8,0,16,8,0,10,0,11,1,12,1,0,10,0,7,0,0,8,0,1,9,0,1,0,6,0,0,0,8,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0.16,7435,1739,775,442,324,258,181,125,128,96,78,57,48,49,45,37,24,33,33,21,29,14,16,23,9,23,8,23,13,11,4,17,9,12,12,12,0,13,5,0,6,10,0,5,0,12,0,3,0,0,9,0,6,0,1,9,0,0,11,0,2,0,10,0,0,0,6,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0.17,6577,1610,741,411,267,210,147,114,109,97,82,54,47,52,46,26,35,27,13,18,21,26,12,16,5,19,10,23,7,13,6,11,5,15,8,16,0,9,13,0,4,3,0,8,0,10,1,12,0,0,6,0,7,0,0,9,0,0,10,0,0,0,8,0,0,0,3,0,0,0,0,4,0,0,0,0,10,0,0,0,1,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0.18,5836,1415,574,377,215,164,114,105,95,87,51,56,45,37,32,27,27,38,19,27,35,17,22,17,4,12,8,13,11,9,11,7,9,14,5,4,0,8,7,0,8,7,1,10,0,8,0,10,0,0,6,0,10,0,0,9,0,0,7,0,0,0,7,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
0.19,5360,1221,539,326,243,165,122,72,76,72,46,40,51,41,32,27,24,18,22,17,16,14,14,10,14,14,7,16,3,8,7,11,8,9,8,13,0,7,11,0,9,7,0,7,0,8,0,4,0,0,7,0,7,0,1,8,0,0,10,0,0,0,7,0,0,0,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0.2,4993,1138,483,324,200,163,137,63,67,67,52,49,40,39,39,28,33,26,19,20,23,14,10,17,7,7,4,10,5,6,3,8,6,4,1,11,0,10,9,0,8,7,0,8,0,6,0,7,0,0,6,0,5,0,0,7,0,0,7,0,0,0,7,0,0,0,4,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.21,4344,1075,449,265,189,130,98,69,64,51,49,41,44,22,26,25,27,17,17,11,15,9,14,8,1,19,11,12,10,6,6,10,7,7,6,4,0,4,2,1,4,3,0,6,0,3,0,5,0,0,1,0,3,0,0,3,0,0,5,0,0,0,5,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0.22,4101,948,399,251,177,134,100,85,64,51,49,28,36,23,21,15,34,20,20,9,26,13,9,8,5,13,7,12,2,4,2,4,2,5,6,6,1,3,7,0,6,7,1,4,0,4,0,3,0,0,7,0,3,0,0,5,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0.23,3708,928,366,226,160,129,90,70,53,49,57,23,23,22,25,19,31,20,14,10,18,6,6,10,9,12,6,11,4,6,6,4,3,9,4,9,0,2,5,0,5,2,0,3,0,7,0,9,0,0,3,0,7,0,0,3,0,0,2,0,0,0,7,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0.24,3492,858,371,235,141,109,72,62,64,47,39,30,27,28,29,23,14,14,10,9,17,6,6,15,7,15,4,11,3,1,6,5,7,2,5,3,0,5,4,0,4,5,0,5,0,5,0,7,0,0,5,0,8,0,0,0,0,0,6,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0.25,3348,747,311,200,132,109,71,59,46,40,36,28,19,19,18,20,31,14,19,15,18,10,6,10,6,11,7,7,8,7,7,6,6,2,3,8,0,9,6,0,8,7,0,3,0,0,0,4,0,0,5,0,3,0,0,3,0,1,3,0,0,0,5,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0.26,3008,754,314,196,106,83,75,55,44,33,34,17,28,28,18,11,15,16,10,7,11,10,12,7,10,7,8,14,3,5,3,8,2,2,2,5,0,4,5,0,2,1,0,5,0,3,0,3,0,0,2,0,5,0,0,4,0,0,7,0,0,0,2,0,0,0,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0.27,2745,662,287,146,121,76,77,65,46,40,28,15,28,17,24,10,21,8,14,8,15,9,13,8,5,4,3,7,3,8,8,1,5,6,0,7,0,4,6,0,3,5,0,2,1,4,0,4,0,0,4,0,4,0,0,6,0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.28,2676,594,266,159,118,81,76,53,41,32,42,17,17,16,14,11,11,10,9,6,10,7,11,6,5,6,2,5,4,5,4,5,6,6,3,2,0,2,5,0,4,1,0,6,0,6,0,2,0,0,6,0,1,0,0,1,0,0,5,0,0,0,5,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0.29,2422,567,242,141,109,97,64,45,34,35,32,26,22,23,18,17,15,10,11,12,12,8,7,7,6,6,3,6,3,0,7,5,3,3,4,7,0,7,2,0,3,3,0,2,0,1,1,4,0,0,3,0,4,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0.3,2299,554,213,139,102,80,53,43,32,22,25,23,10,15,20,10,12,10,8,2,7,8,9,6,5,9,3,9,4,4,4,3,5,2,5,5,0,3,1,0,5,4,0,1,0,5,0,1,0,0,3,0,4,0,0,4,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0.31,2053,512,226,136,91,78,57,29,26,26,23,21,16,13,19,7,16,5,13,2,13,7,7,8,1,6,3,7,3,4,3,2,2,2,4,3,0,4,2,0,6,5,0,2,0,2,0,2,0,0,0,0,4,0,0,4,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.32,2016,464,202,129,79,63,48,33,25,20,29,17,20,17,19,9,9,9,11,7,10,8,4,11,3,8,3,7,8,1,1,6,2,3,6,2,0,2,0,1,3,3,0,2,0,2,0,1,0,0,2,0,2,0,0,5,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0.33,1862,425,187,110,93,63,51,39,31,25,34,15,15,10,12,10,12,6,5,5,4,8,3,8,4,4,3,4,2,4,0,7,4,3,2,1,0,2,7,0,6,5,0,0,0,1,0,5,0,0,1,0,4,0,0,4,0,0,2,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0.34,1800,386,181,123,69,57,50,24,26,21,19,18,15,16,12,5,14,9,5,8,11,7,4,2,3,5,3,2,4,1,3,6,0,2,2,2,1,4,3,0,3,2,0,5,0,0,0,4,0,0,6,0,4,0,0,2,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0.35,1637,409,178,98,75,65,37,34,23,29,26,19,17,13,14,10,9,10,3,10,6,11,5,4,2,2,3,2,1,1,4,1,2,2,1,2,0,2,2,0,4,3,0,3,0,0,0,2,0,0,3,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0.36,1534,388,166,88,64,57,46,26,19,19,13,11,14,16,12,10,4,6,8,5,9,5,11,5,1,7,3,4,2,4,3,2,7,3,2,0,0,0,0,0,2,3,0,0,0,2,0,5,0,0,2,0,5,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0.37,1521,369,159,90,62,60,31,23,20,18,17,10,9,12,11,9,7,9,6,5,8,5,4,6,0,3,1,6,4,3,2,2,1,7,2,2,0,1,1,0,4,4,0,3,0,1,0,0,0,0,3,0,2,0,0,3,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0.38,1425,373,169,90,83,41,38,27,25,21,26,17,9,11,7,10,2,7,7,3,5,4,3,9,1,3,4,3,3,0,1,2,2,3,3,0,0,1,3,0,4,2,0,6,0,2,0,4,0,0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.39,1352,300,148,88,65,52,34,18,28,8,13,13,17,10,11,9,6,5,3,7,8,7,2,4,1,4,4,10,0,2,3,3,1,0,1,1,0,1,5,0,2,0,0,0,0,2,1,3,0,0,3,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.4,1300,302,120,69,42,49,31,20,29,14,21,12,13,10,5,7,15,7,4,5,5,3,4,3,1,4,2,4,2,1,1,4,2,3,4,4,0,3,3,0,0,0,0,1,0,3,0,3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.41,1230,264,114,84,52,46,41,26,21,15,24,10,7,11,10,5,10,4,4,5,4,1,6,3,3,5,2,4,3,1,0,1,0,2,3,1,0,1,4,0,2,2,0,1,0,3,0,3,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.42,1165,248,112,61,60,37,30,27,16,17,15,10,8,4,7,4,3,4,4,4,2,1,2,4,1,0,3,3,1,1,0,4,1,4,2,5,0,4,0,0,5,1,0,2,0,3,0,4,0,0,5,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.43,1122,307,128,60,45,34,15,19,23,17,15,7,7,9,8,7,4,1,5,1,7,7,4,0,2,4,0,7,1,0,2,0,0,1,4,1,0,1,1,0,1,0,0,4,0,1,0,2,0,0,0,0,3,0,0,2,0,0,2,0,0,0,4,0,0,0,4,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0.44,1136,271,101,82,74,39,29,30,16,17,14,11,9,4,9,5,8,5,4,6,3,1,4,5,4,4,2,2,1,2,1,1,3,2,1,3,0,1,3,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45,1030,229,105,64,45,34,26,26,19,15,15,6,12,4,7,8,11,2,3,3,0,4,6,0,4,3,1,5,2,0,0,1,3,2,2,0,0,0,2,0,3,3,0,4,0,2,0,0,0,0,5,0,2,0,0,1,0,0,6,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0.46,1056,242,115,66,63,37,16,21,16,11,11,10,4,5,5,7,10,6,5,4,4,1,0,4,1,7,1,8,3,3,2,3,1,0,0,0,0,3,0,0,2,2,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.47,938,232,82,68,51,35,26,29,17,10,12,17,10,9,9,2,6,2,5,2,4,2,3,2,1,4,4,2,2,0,2,4,0,4,0,4,0,1,1,0,3,2,0,0,0,2,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0.48,909,228,100,67,42,33,21,15,15,19,8,9,8,5,3,9,2,3,0,6,5,3,5,3,0,2,1,5,1,3,2,2,2,2,1,2,0,1,2,0,2,1,0,1,0,3,0,2,0,0,4,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.49,901,229,85,48,49,30,12,15,19,11,14,8,10,5,7,3,6,3,4,4,3,1,3,0,4,1,2,4,1,2,2,3,1,0,0,2,0,2,1,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0.5,919,227,89,53,42,28,22,21,15,14,13,8,8,11,9,2,5,2,4,3,3,2,0,3,3,4,0,1,1,2,1,1,2,4,1,6,0,2,3,0,2,1,0,0,0,1,0,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0.51,836,215,87,54,42,30,22,21,16,11,8,6,12,10,8,3,7,2,5,5,2,4,2,2,2,1,1,3,2,2,3,0,0,2,2,0,0,0,2,0,3,4,0,2,0,4,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0.52,851,215,81,72,31,28,21,11,17,9,16,13,9,9,3,7,5,6,4,1,1,3,4,2,0,3,2,2,4,1,0,3,0,0,2,3,0,1,1,0,2,5,0,3,0,1,0,2,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53,795,209,104,64,40,28,22,14,16,10,12,9,7,3,3,7,2,2,3,6,3,1,2,4,0,5,1,0,1,1,0,1,1,1,1,2,0,2,0,0,0,1,0,0,0,1,0,1,0,0,2,0,2,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.54,833,224,78,53,40,17,27,12,14,11,8,9,8,4,6,2,8,3,3,1,8,1,7,3,2,3,3,3,6,0,1,1,0,0,2,1,0,0,0,0,1,2,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.55,817,178,78,52,47,38,23,13,12,5,3,10,6,7,8,7,7,7,4,3,7,4,2,1,0,2,1,4,0,2,1,1,1,1,2,3,0,2,1,0,1,0,0,1,0,3,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0.56,839,181,94,62,45,27,23,20,18,10,16,9,9,3,6,2,3,5,1,3,5,3,6,5,3,5,0,5,1,2,2,1,1,2,2,4,0,1,3,0,1,2,0,0,0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.57,764,205,93,68,26,25,21,21,13,11,12,6,6,6,5,7,4,1,1,5,4,0,0,1,1,7,1,3,0,2,1,2,1,0,0,1,0,2,2,0,2,1,0,1,0,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,822,180,86,47,34,23,23,18,16,15,8,5,6,4,5,10,2,6,5,6,4,2,5,4,1,2,2,0,0,1,1,2,3,0,0,0,0,0,1,0,5,2,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0.59,789,191,69,68,41,24,21,9,10,8,12,9,7,9,3,2,7,3,6,3,4,2,4,6,3,8,0,1,2,1,2,0,3,2,3,0,0,3,1,0,0,0,0,2,0,4,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0.6,778,193,81,59,33,23,16,16,16,7,11,5,5,3,10,4,7,2,3,3,4,1,5,2,2,3,1,6,0,0,3,1,2,4,2,1,0,4,4,0,1,2,0,2,0,1,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
